title,type,material,color,size,dimensions,weight,region,packer_name,price,description,food_preference,no_onion_garlic,shelf_life_days,flavour_variant,speciality_or_feature
"
   			Mirza Sahab Lakhnavi Spcl Biryani Instant Mix 50 gm Pack of 4",Powdered_spices,,,,,,Delhi,"Mirza Sahab, B-5 Nizamuddin West New Delhi-110013",220.0,No description available.,Vegetarian,,,,
"
   			Agri Club Red Onion Powder 400 gm",Powdered_spices,,,,,,India,,201.0,"
							These are carefully packed while using particular food grade packaging material to preserve both the freshness and increase the longer shelf life. Products are quality tested and can be availed from us at best affordable prices.",Vegetarian,,,Onion,Gluten Free
"
   			Nutrixia Food Kamarkas Powder / Palash Gond / Salvia Plebeian - Gond Chunia  Powder 980 gm",Powdered_spices,,,,,,Mumbai,Nutrixia Food Navi Mumbai,661.0,"
							Kamarkas Powder / Palash Gond / Salvia Plebeian - Gond Chunia ",Vegetarian,,,Kamarkas Powder / Palash Gond / Salvia Plebeian - Gond Chunia,Natural
"
   			Nature's Gift - 100 gm Cheese Powder (Pack of 1)",Powdered_spices,,,,,,India,TIRUPATI BALAJI ENTERPRISE,174.0,"
							Pure & Natural Premium QualityCheese powder makes a delicious and velvety smooth sauce for pasta, casseroles, or vegetables.It can also be sprinkled on popcorn, chips, pasta, baked potatoes, and other snacks for a cheesy kick!It can be added to pizza seasoning or any other seasoning to give extra cheesy kick.Add it on any meals for extra cheesy flavor.",Vegetarian,,,Cheese Powder (Milky-White),Natural
"
   			Nutrixia Food - 100 gm Babul Fali Powder (Pack of 1)",Powdered_spices,,,,,,Mumbai,Nutrixia Food Navi Mumbai,116.0,"
							Babul Fali Powder/Babool Phali Powder/Babool Fali Powder/Kikar Phali - Kikar Fali (Powder)",Vegetarian,,,Babul Fali Powder/Babool Phali Powder/Babool Fali Powder/Kikar Phali,Natural
"
   			Agri Club Fruit Chaat Masala Powder 100gm",Powdered_spices,,,,,,India,NA,97.0,No description available.,Vegetarian,,,fruit chaat,Gluten Free
"
   			UPPAL SONS - 800 gm Onion Powder (Pack of 1)",Powdered_spices,,,,,,India,UPPAL SONS,255.0,"
							Red onion powder is the ground form of dehydrated red onion. It is an excellent replacement for fresh onion. Toss it into spice rubs and spice blends, dressings, dips, frying batter mixes, sauces, soups, stews, salads, sauces, curries etc and making your cooking experience easy and fun. This red onion powder is ready to use and tastes as fresh onion.",Vegetarian,,,RED ONION POWDER,Natural
"
   			UPPAL SONS DALCHINI POWDER / CINNAMON POWDER Powder 200 gm",Powdered_spices,,,,,,Delhi,UPPAL SONS  BG-14  DR. AMBEDKAR NAGAR  NEW DELHI 110062,300.0,"
							Cinnamon is a popular spice, having a strong spicy flavour often used in cooking and baking. Its sweet and warm taste makes cinnamon a delicious addition to any dish. It has been used medicinally for thousands of years and is known for its numerous health benefits.",Vegetarian,,,DALCHINI POWDER / CINNAMON POWDER,Natural
"
   			Tassyam - 250 gm Haldi (Turmeric) (Pack of 1)",Powdered_spices,,,,,,India,"Goel United Spice Trading Office Plot No. 459, Sector 38, Food Park, HSIIDC Rai Industrial Estate Sonipat, Haryana 131029",233.0,"
							Add it to any dish to give a golden touch and at the same time make it healthier",Vegetarian,,,Certified USDA 100% Organic Turmeric,
"
   			Alco Spices Kitchen Masala Powder 200 gm",Powdered_spices,,,,,,India,"Alco Food Private Limited Hirapur, Tendua Road, Post –Tendua, Via, Tatibandh, Raipur, Chhattisgarh 492009",129.0,"
							ALCO  Kitchen Masala Powder is made from all Natural ingredients using advanced technology with low grinding temperature to retain its natural flavor notes.",Vegetarian,,,Kitchen Masala,Gluten Free
"
   			SATVAM Hing Powder (5 * 100g) Powder 500 gm Pack of 5",Powdered_spices,,,,,,India,"Satvam Nutrifoods Ltd. Survey No. 419-21-22, At. Amodara, Post - Rampura, Ta. Prantij, Dist. Sabarkantha - 383210.",600.0,"
							Hing is the resin extract obtained from Asafoetida plants, which is then refined and compounded to manufacture powdered hing. Apart from its application in cooking, hing is also utilized for therapeutic purposes.    Hing is highly aromatic and hard substance which is why it is difficult to make a fine powder and is compounded using natural gum and wheat powder. Satvam’s low temperature cryogenic grinding technology allows smooth grinding of dry resin, which creates a very fine powder.    To give your recipe a unique aroma and flavor, buy hing from Satvam Nutrifoods – one of the best hing manufacturer and exporter in India.",Vegetarian,,,Hing Powder (5 * 100g),
"
   			UPPAL SONS CHILLY FLAKES Powder 800 gm",Powdered_spices,,,,,,India,UPPAL SONS,396.0,"
							CHILLY FLAKES",Vegetarian,,,CHILLY FLAKES,Natural
"
   			Agri Club Black Pepper Powder 100Gm",Powdered_spices,,,,,,India,"Shri hari industries, F-103, Bichwal ind. Area, bikaner",193.0,"
							Black Pepper Powder_100gmBlack Pepper which is (Kurumulaku in Malayalam – Kali Mirch in Hindi – Marich in Sanskrit) is cultivated for its fruit. The “king of spices” is widely used in cuisines globally. It’s indigenous to the rain forests of Kerala and also known as “black gold”. Black pepper is actually a flowering vine. In Kerala it’s still dried in direct sunlight. The fruit in the dried stage is known as peppercorn and that’s used as a spice, seasoning. After drying it’s consumed in the raw form.Pepper is an inevitable ingredient for several culinary delights. Besides hot taste and aroma, it’s added to dishes to correct the seasoning. Pepper is a good preservative which is used in baking, pickling, canning and for preserving meat. The world today consumes as much black pepper as all other spices combined. It’s used in one way or other in most cuisines and it’s used to prepare just about every kind of dish, including desserts!No artificial colours and preservativesConsistency in quality across the yearAll Vedaka spices and seeds are hygieneFully packed and undergo stringent and rigorous laboratory tests to meet fssai food safety norms",Vegetarian,,,Black Pepper Premium,Natural
"
   			Tassyam - 80 gm Laal Mirch (Red Chili) (Pack of 1)",Powdered_spices,,,,,,India,,101.0,"
							Fine red chilli powder to add some spiciness to your cooking",Vegetarian,,,Red Chilli,
"
   			Agri Club Red Onion Powder 100gm",Powdered_spices,,,,,,India,,98.0,"
							These are carefully packed while using particular food grade packaging material to preserve both the freshness and increase the longer shelf life. Products are quality tested and can be availed from us at best affordable prices.",Vegetarian,,,Onion,Gluten Free
"
   			UPPAL SONS - 250 gm Black Pepper Powder (Pack of 1)",Powdered_spices,,,,,,India,UPPAL SONS,199.0,"
							Black pepper, also known as kali mirch, is a spice that has been a part of revolutionary changes in the kitchen all around the world. It is most commonly consumed in its powdered form as ground black pepper.",Vegetarian,,,BLACK PEPPER POWDER,Natural
"
   			Agri Club Tomato Powder 100gm",Powdered_spices,,,,,,India,,124.0,"
							These are carefully packed while using particular food grade packaging material to preserve both the freshness and increase the longer shelf life. Products are quality tested and can be availed from us at best affordable prices. We are well recognized as a prestigious association, engaged in importing as well exporting nutritious range of groceries.",Vegetarian,,,Tomato Powder,Gluten Free
"
   			Nutrixia Food AMBA HALDI POWDER- KASTURI HALDI POWDER Mango Turmeric Powder 980 gm",Powdered_spices,,,,,,Mumbai,Nutrixia Food Navi Mumbai,402.0,"
							AMBA HALDI POWDER- KASTURI HALDI POWDER - CURCUMA AMADA - WILD TURMERIC POWDER Mango Ginger, Mango Turmeric",Vegetarian,,,AMBA HALDI POWDER- KASTURI HALDI POWDER Mango Turmeric,Natural
"
   			Nature's Gift Lemon Powder 500 gm",Powdered_spices,,,,,,India,,567.0,"
							Lemons are believed to have originated in India. Lemons have been principally used for their juice, and as an ingredient in cooking and baking. It is a natural anti-microbial, supports kidney, liver and bowel functions, and has a very attractive smell. Just smelling the pleasant aroma of this product can make you feel good. Direction to use: Lemon juice powder can be used to make lemon juice or lemonade, and may be used as a substitute in recipes that call for lemon juice.To reconstitute mix 1 teaspoon of lemon juice powder with 1/4 cup of water.This Dehydrated lemon powder is Citrusy, zesty and absolutely stunning. Toss into drinks, spice rubs, dips, marinades or bake delicious goodies.",Vegetarian,,,Lemon,Natural
"
   			AGRI CLUB Black Pepper Powder, Kali mirch Powder 100 gm",Powdered_spices,,,,,,India,,166.0,"
							Black pepper is produced from the still-green, unripe drupe of the pepper plant. The drupes are cooked briefly in hot water, both to clean them and to prepare them for drying. The heat ruptures cell walls in the pepper, speeding the work of browning enzymes during drying. The drupes dry in the sun or by machine for several days, during which the pepper skin around the seed shrinks and darkens into a thin, wrinkled black layer. Once dry, the spice is called black peppercorn. On some estates, the berries are separated from the stem by hand and then sun-dried without the boiling process.",Vegetarian,,,"Black Pepper Powder, Kali mirch",Gluten Free
"
   			SATVAM White Pepper Powder (5 * 50g) Powder 250 gm Pack of 5",Powdered_spices,,,,,,India,"Satvam Nutrifoods Ltd. Survey No. 419-21-22, At. Amodara, Post - Rampura, Ta. Prantij, Dist. Sabarkantha - 383210.",246.0,"
							White pepper exerts the similar properties as of the black pepper as to prepare white pepper, the outer layer of pepper seeds is removed. White pepper gives a slightly lesser hotness when compared to the black pepper.    Satvam Nutrifoods utilized only fresh dried pepper seeds to make the white pepper powder because of its tendency to become bitter very fast. Through the use of cryogenic grinding technology, Satvam retains the original taste and freshness of white pepper.    Experience the pungent and hot taste of white pepper seed powder with Satvam. Buy white pepper powder from Satvam – one of the best white pepper powder manufacturer and exporter in India.",Vegetarian,,,White Pepper Powder (5 * 50g),
"
   			SATVAM Hing Powder (4 * 100g) Powder 400 gm Pack of 4",Powdered_spices,,,,,,India,"Satvam Nutrifoods Ltd. Survey No. 419-21-22, At. Amodara, Post - Rampura, Ta. Prantij, Dist. Sabarkantha - 383210.",433.0,"
							Hing is the resin extract obtained from Asafoetida plants, which is then refined and compounded to manufacture powdered hing. Apart from its application in cooking, hing is also utilized for therapeutic purposes.    Hing is highly aromatic and hard substance which is why it is difficult to make a fine powder and is compounded using natural gum and wheat powder. Satvam’s low temperature cryogenic grinding technology allows smooth grinding of dry resin, which creates a very fine powder.    To give your recipe a unique aroma and flavor, buy hing from Satvam Nutrifoods – one of the best hing manufacturer and exporter in India.",Vegetarian,,,Hing Powder (4 * 100g),
"
   			Mirza Sahab Seekh Kabab Masala Instant Mix 50 gm Pack of 4",Powdered_spices,,,,,,Delhi,"Mirza Sahab, B-5 Nizamuddin West New Delhi-110013",182.0,No description available.,Vegetarian,,,,
"
   			Nature's Gift Chicory Root (Roasted) Powder 250 gm",Powdered_spices,,,,,,India,,174.0,"
							Chicory root is a good source of fiber, which may help improve several aspects of your digestive health. It is a good source of inulin, a type of prebiotic fiber that has been linked to increased weight loss and improved gut health.",Vegetarian,,,Chicory Root (Roasted),Natural
"
   			Hillpure Organic 200 gm Haldi (Turmeric) ( Pack of 1 )",Powdered_spices,,,,,,India,"Hillpure Organic, Haldwani, Uttarakhand",130.0,"
							Hillpure Organic Turmeric Powder is pure & natural and sourced only from high rise areas of Uttarakhand (Himalayas). Turmeric is grown naturally by the famers. They use only natural compost for their produce. Hillpure Organic Spices are unique and different from other products available in the market, both in taste and quality, because of the Himalayan climate. Perfect Taste & Aroma and 100% natural.",Vegetarian,,,Turmeric Powder,No Preservatives
"
   			Mirza Sahab Dilli Spcl Achari Biryani Instant Mix 50 gm Pack of 4",Powdered_spices,,,,,,Delhi,"Mirza Sahab, B-5 Nizamuddin West New Delhi-110013",211.0,No description available.,Vegetarian,,,,
"
   			AGRICLUB Rosemary Powder 30 gm",Powdered_spices,,,,,,India,"Shri hari industries, F-103, Bichwal ind. Area, bikaner",103.0,"
							Agri Club Rosemary Powder  has a spicy pungent flavour. It is native and widely known spice from Karnataka India. It can be used in processes of cooking meat, vegetables etc. It is also helpful in medicinal aspects as it is a basis of manganese, iron, vitamin C, potassium and dietary fibre.",Vegetarian,,,Rosemary,
"
   			Nutrixia Food Black kaunch beej powder-kavcha kala  Powder 50 gm",Powdered_spices,,,,,,Mumbai,Nutrixia Food Navi Mumbai,106.0,"
							Black kaunch beej powder-kavcha kala -Kaunch kala-Mucuna Pruriens - Cowhage Seed ",Vegetarian,,,Black kaunch beej powder-kavcha kala,Natural
"
   			Nature's Gift - 200 gm Onion Powder (Pack of 1)",Powdered_spices,,,,,,India,,178.0,"
							Onion powder, a spice made from ground dehydrated onions is used for seasoning in cooking. Many cooks of the world prefer onion powder to fresh onions because it is easier to handle, saves time and require no chopping or special treatment. Prepared from finely ground dehydrated onions, they contain very strong smell and last for a longer duration, if properly packaged and stored. Since bulb onions contain much of the flavor and distinctive aroma of the onion, they are widely used for preparing onion powder. Onion powder is a perfect condiment for taco mix, chili, barbeque rubs, salad dressings, dips, marinades, and as an addition to hamburgers.",Vegetarian,,,Onion,Natural
"
   			Agri Club Red Onion Powder 200 gm",Powdered_spices,,,,,,India,"Shri Hari Industries, F-103, Bichwal Ind. Area, Bikaner",150.0,"
							The flavour is slightly stronger and sweeter than regular onion powder, and it is especially good to use in seasoning mixes.It can be used as a seasoning atop a variety of foods and dishes, such as pasta and pizza.Usually used into spice rubs and spice blends, dressings, dips, marinades, frying batter mixes, sauces, soups, stews, salads, sautés, curries etc and making your cooking experience easy and fun.",Vegetarian,,,onion,
"
   			Nature's Gift Carrot Powder 100 gm",Powdered_spices,,,,,,India,,152.0,"
							In addition to an abundance of antioxidant beta carotene, carrot powder is rich in vitamins a, b1, b2, b3, b6, b12, c, e and k. The powder also provides several minerals, including calcium, iron, potassium, phosphorus and magnesium. The culinary uses of carrot powder are practically unlimited. Carrot powder has sweet flavour and nutrients of the vegetable in an easy-to-use form. Use it to thicken soups, combine it with flour in baking mixes or use as a natural food colouring. It is also added to natural skin care preparations. Direction to use: carrot cake, pudding, juice, stews, soup, orange food colouring, carrot soup or anything you desire some carrot flavour.The culinary uses for carrot powder are practically unlimited. The powder can be combined with flour in baking or added directly to various cooked foods or sprinkled over to salads as a flavorful and nutritious garnish.",Vegetarian,,,Carrot,Natural
"
   			UPPAL SONS HALDI POWDER Powder 500 gm",Powdered_spices,,,,,,India,UPPAL SONS,192.0,"
							Curcumin, the active ingredient in turmeric, has potent biological properties. Research suggests that turmeric can reduce the risk of cancer, improve liver function",Non Vegetarian,,,HALDI POWDER,Natural
"
   			Nutrixia Food Jatamasi Churna jatamansi Powder-Balchad Powder 50 gm",Powdered_spices,,,,,,Mumbai,Nutrixia Food Navi Mumbai,122.0,"
							Jatamasi Churna / Jatamansi Powder / Balchad Powder / जटामांसी पाउडर / Nardostachys Jatamansi / Spikenard  ",Vegetarian,,,Jatamasi Churna jatamansi Powder-Balchad,Natural
"
   			UPPAL SONS BAKING SODA Powder 200 gm",Powdered_spices,,,,,,Delhi,UPPAL SONS  BG-14  DR. AMBEDKAR NAGAR  NEW DELHI 110062,66.0,"
							Baking soda is a leavening agent used in baked goods like cakes, muffins, and cookies. It's a white crystalline powder that is naturally alkaline, or basic (1). Baking soda becomes activated when it's combined with both an acidic ingredient and a liquid",Vegetarian,,,BAKING SODA,No Added Salt
"
   			Agri Club Peri Peri Seasoning 40gm",Powdered_spices,,,,,,Rajasthan,"Shri Hari Industries, Bikaner, Rajasthan",118.0,"
							Material Feature: VegetarianShelf Life: 12 MonthsStorage instructions: Store in a cool & dry place, referigerate in humidityPackage Contents: 1 Pouch of Peri Peri/French Fries Masala",Vegetarian,,,Peri Peri Seasoning,
"
   			UPPAL SONS GARLIC POWDER Powder 500 gm",Powdered_spices,,,,,,India,UPPAL SONS,306.0,"
							GARLIC POWDER",Vegetarian,,,GARLIC POWDER,Natural
"
   			Agri Club Black Pepper Powder 100g, Clove Powder 100g, Suth Powder 100g, (Pack of 3)",Powdered_spices,,,,,,India,"Shri hari industries, F-103, Bichwal ind. Area, bikaner",305.0,"
							Agri Club offer a fine assortment of premium quality Spice Combo . These are carefully packed while using particular food grade packaging material to preserve both the freshness and increase the longer shelf life. Products are quality tested and can be availed from us at best affordable prices. We are well recognized as a prestigious association, engaged in importing as well exporting nutritious range of groceries. Products are processed by highly experienced experts, under complete clean and hygienic conditions and in complete observance with the established norms and rules of the industry. All these products are grown as well as processed under hygienic conditions according to the industry laid customs and instructions. The products we offer are widely praised in the market for their top quality.",Vegetarian,,,natural spices,
"
   			Natures Gift - 100 gm Ginger powder (Pack of 3)",Powdered_spices,,,,,,India,"TIRUPATI BALAJI ENTERPRISE, BHAVNAGAR",213.0,"
							Spice Combo of Garlic Powder, Ginger Powder & Red Onion Powder. Contains Garlic Powder: 100 GM, Ginger Powder: 100 GM & Red Onion Powder: 100 GM Comes in a Sprinkler Jar - Easy to use & handleEasier to handle, saves time and require no chopping or special treatmentUse in preparing sauces, gravies, soups, pastas, hamburgers, salads & in any recipe where a flavour of onion is required.",Vegetarian,,,"Garlic Powder, Red Onion Powder & Ginger Powder - 100 gm Each",
"
   			UPPAL SONS - 1000 gm Laal Mirch (Red Chili) (Pack of 1)",Powdered_spices,,,,,,India,UPPAL SONS,303.0,"
							MIRCH KUTTI",Vegetarian,,,MIRCH KUTTI,Natural
"
   			Nutrixia Food Camphor Powder - Kapoor - Kapur  Powder 250 gm",Powdered_spices,,,,,,Mumbai,Nutrixia Food Navi Mumbai,330.0,"
							Camphor Powder - Kapoor powder - Kapur ",Vegetarian,,,Camphor Powder - Kapoor - Kapur,Natural
"
   			Nature's Gift - 250 gm Tamarind Powder (Pack of 1)",Powdered_spices,,,,,,India,,267.0,"
							The tamarind is rich in antioxidant and anti-inflammatory properties. It is a unique, sour spice typically used in Indian or other Asian savoury cuisine to balance rich, spicy flavour profiles.",Vegetarian,,,Tamarind,GMO Free
"
   			Mirza Sahab Bhuna Gosht Masala Instant Mix 50 gm Pack of 4",Powdered_spices,,,,,,Delhi,"Mirza Sahab, B-5 Nizamuddin West New Delhi-110013",216.0,No description available.,Vegetarian,,,,
"
   			Nature's Gift - 100 gm Mint Powder (Pack of 1)",Powdered_spices,,,,,,India,,152.0,"
							Mint is a popular herb that can be used fresh or dried in many dishes and infusions. Mint Leaf has one of the highest antioxidant capacities of any food and also popular in vitamin C & A. Mint Leaves are filled with valuable nutrients such as manganese, vitamin B-3, and especially good source of tryptophan. It is used in tea, soups, and chutneys. Direction to use: Mint is commonly used to flavor dishes, sauces, dips, soups, and vegetable salads. Mint Leaves can be used in tea, as sprinkler on salads, chutney. Mint Leaves help to cure & sour throat, inflammation stomach disorders.",Vegetarian,,,MINT LEAVES,
"
   			Mirza Sahab Chat Masala Instant Mix 80 gm Pack of 4",Powdered_spices,,,,,,Delhi,"Mirza Sahab, B-5 Nizamuddin West New Delhi-110013",242.0,No description available.,Vegetarian,,,,
"
   			Nutrixia Food - 50 gm Gond Katira Powder (Pack of 1)",Powdered_spices,,,,,,Mumbai,Nutrixia Food Navi Mumbai,106.0,"
							TRAGACANTH GUM (KATIRA)-Natural Gond Katira/Kathila/Tragacanth Gum Powder",Vegetarian,,,Natural Gond Katira Powder/Kathila/Tragacanth Gum Powder,Natural
"
   			Nutrixia Food - 250 gm Gokshura Powder (Pack of 1)",Powdered_spices,,,,,,Mumbai,Nutrixia Food Navi Mumbai,177.0,"
							Gokshura Powder- Gokhru Powder- Gokhroo - Pedalium Murex - Large Caltrops",Vegetarian,,,Gokshura Powder- Gokhru Powder,Natural
"
   			Tassyam - 20 gm Hing (Pack of 1)",Powdered_spices,,,,,,India,"Goel United Spice Trading Office Plot No. 459, Sector 38, Food Park, HSIIDC Rai Industrial Estate Sonipat, Haryana 131029",1000.0,"
							Ultra premium RAW Hing. From Tassyam. Hing is a strong spice  to the Indian cuisine and also extensively used in many a folk systems of medicines like Ayurveda. Hing or Asafoetida is extracted from several Spices of Ferula, native to Afghanistan and it's neighbouring regions and then has to be carefully processed. Our Hing is prepared using secret recipes developed and perfected by Lala Laxmi Chand Ji ""Hingwale"" in 1940. Using a blend of traditional methods and modern technologies, we create products so unique and impeccable that even we can't better them. These recipes have been handed over from generation to generation and require both hard-work and a colossal amount of passion to be perfectly effectuated. Presenting you our Laxmi ULTRA Hing.",Vegetarian,,,Hingwale Laxmi ULTRA Raw Hing Crystals,
"
   			Nutrixia Food Kamarkas Powder / Palash Gond / Salvia Plebeian - Gond Chunia  Powder 50 gm",Powdered_spices,,,,,,Mumbai,Nutrixia Food Navi Mumbai,116.0,"
							Kamarkas Powder / Palash Gond / Salvia Plebeian - Gond Chunia ",Vegetarian,,,Kamarkas Powder / Palash Gond / Salvia Plebeian - Gond Chunia,Natural
"
   			Agri Club Garlic Powder, Lehsun Powder 250gm",Powdered_spices,,,,,,Rajasthan,"Shri Hari Industries, Bikaner, Rajasthan",224.0,"
							Garlic powder is a spice that is derived from dehydrated garlic and used in cooking for flavour enhancement. The process of making garlic powder includes drying and dehydrating the vegetable, then powdering it through machinery or home-based appliances depending on the scale of production.",Vegetarian,,,Garlic,
"
   			AGRI CLUB Fenugreek Seed Powder 400 gm",Powdered_spices,,,,,,India,SHRI HARI INDUSTRIES BIKANER,176.0,"
							Promotes Hair Growth : Fenugreek Seeds Are A Good Source Of Protein.  The Hair Shaft And Prevent Breakage.Anti Fungal : Fenugreek Seeds Are Very Powerful Anti Fungal Agent Makes The Scalp Inflammation Free. Dandruff Control : You Can See Result Within A Short Span With Fenugreek For Dandruff.",Vegetarian,,,Fenugreek Seed,Gluten Free
"
   			Tassyam Coriander Powder 500 gm",Powdered_spices,,,,,,India,"Goel United Spice Trading Office Plot No. 459, Sector 38, Food Park, HSIIDC Rai Industrial Estate Sonipat, Haryana 131029",256.0,"
							Coriander Powder not only offer a unique and intriguing flavor profile, but their consumption has also been shown to blood flow and heart health as well as to calm digestive problems. A must-have for any household, now in bulk packing",Vegetarian,,,Coriander,
"
   			AGRICLUB Pudina Chutney Masala Powder 200 gm",Powdered_spices,,,,,,Rajasthan,"Shri Hari Industries, Bikaner, Rajasthan",202.0,"
							No preservatives, no added flavours, no artificilal colors, Quality and Goodness of Health .Lip-smacking home made indian taste, super convenient to handle . Just add curd in instant pudina chutney mix and your restaurant style chutney is ready to serve (cooks in minute)Easier and the most convenient way for home preparation without compromising the taste Reduce cooking preparation timeAgri Club-Heaven Of Spices.",Vegetarian,,,Pudina Chutney Masala,
"
   			Nutrixia Food Reetha powder Soapnuts Aritha Powder 980 gm",Powdered_spices,,,,,,Mumbai,Nutrixia Food Navi Mumbai,315.0,"
							Reetha powder Soapnuts Aritha",Vegetarian,,,Reetha powder Soapnuts Aritha,Natural
"
   			Tassyam - 100 gm Bharwan Masala Powder (Pack of 2)",Powdered_spices,,,,,,India,"Goel United Spice Trading Office Plot No. 459, Sector 38, Food Park, HSIIDC Rai Industrial Estate Sonipat, Haryana 131029",198.0,"
							All in one spice for homemade brinjal/ eggpant, bhindi and karela! The perfect blend of spices and condiments. Just slice your veggies, add this masala, cook and you're good to go!",Vegetarian,,,Bharwan Masala,
"
   			Nutrixia Food BHUMI AMLA Powder-Bhui amli  Powder 50 gm",Powdered_spices,,,,,,Mumbai,Nutrixia Food Navi Mumbai,106.0,"
							BHUMI AMLA Powder-Bhui amli powder - Bhui Awla / Jangli Amli / Phyllanthus Niruri ",Vegetarian,,,BHUMI AMLA Powder-Bhui amli,Natural
"
   			Nutrixia Food - 480 gm Babul Fali Powder (Pack of 1)",Powdered_spices,,,,,,Mumbai,Nutrixia Food Navi Mumbai,293.0,"
							Babul Fali Powder/Babool Phali Powder/Babool Fali Powder/Kikar Phali - Kikar Fali (Powder)",Vegetarian,,,Babul Fali Powder/Babool Phali Powder/Babool Fali Powder/Kikar Phali,Natural
"
   			AGRI CLUB Roasted Sesame Seed Powder 400 gm",Powdered_spices,,,,,,India,SHRI HARI INDUSTRIES BIKANER,260.0,"
							Sesame seeds are high in copper, manganese, calcium, iron, B1 and magnesium. A quarter cup of sesame seeds contains 2.5g of saturated fat. The powder is made by the sesame seeds which brings out the seeds’ full, nutty flavor then grinding the seeds into a fine powder. sesame seeds alters nutritional values. Studies show that the calcium levels are slightly higher when the seeds are toasted.",Vegetarian,,,Roasted Sesame Seed,Gluten Free
"
   			Nutrixia Food Dashmool Powder Dashmool   Dashamoola - Dasmool Powder 50 gm",Powdered_spices,,,,,,Mumbai,Nutrixia Food Navi Mumbai,91.0,"
							Dashmool Powder -Dashmool - दशमूल -  Dashamoola - Dasmool - Dashmul-Dashamula",Vegetarian,,,Dashmool Powder Dashmool   Dashamoola - Dasmool,Natural
"
   			Mirza Sahab Rogan Josh Masala Instant Mix 50 gm Pack of 4",Powdered_spices,,,,,,Delhi,"Mirza Sahab, B-5 Nizamuddin West New Delhi-110013",211.0,No description available.,Vegetarian,,,,
"
   			AGRI CLUB Cumin Powder, Jeera  Powder 200 gm",Powdered_spices,,,,,,India,,244.0,"
							Urban Spices cumin seed is one of the vital ingredients in preparation of chilli powder. It is an excellent source of iron. It has a strong aroma and distinctive flavour.",Vegetarian,,,"Cumin Powder, Jeera",Gluten Free
"
   			Nutrixia Food Akarkara Powder/ अकरकरा / Pellitory/Kulekhara, Akkalkaro,Akalkara 100 gm",Powdered_spices,,,,,,India,Nutrixia Food,132.0,"
							What are the synonyms of Akarkara?Anacyclus , Kulekhara, Pellitory, Akkalkaro, Akkalgaro, Akalkara, Akkallakara, Akallakara, Akalakarabha, Akkallaka Hommugulu,, Akikaruka, Akravu, Akkalakara, Akkalakada, Akarakarabh, Akarakara Akkaraka, Akkarakaram, Akkalakarra, Aqaraqar Ayurvedic ViewAkarkara powder is useful to manage pain in arthritis. According to Ayurveda, arthritis occurs due to an aggravation of Vata dosha. It causes pain, swelling and joint immobility. Akarkara has Vata balancing property and gives relief from the symptoms of arthritis-like pain and swelling in the joints.Tips:a. Take 2-4 pinches of Akarkara powder.b. Have with plain water or honey once or twice a day after meals.c. Repeat this to manage the symptoms of arthritis.",Vegetarian,,,"Akarkara Powder/ अकरकरा / Pellitory/Kulekhara, Akkalkaro,Akalkara",
"
   			Agri Club Dry Red Chilli Rajasthani Whole 100gm",Powdered_spices,,,,,,India,shri hari industries,137.0,"
							These are carefully packed while using particular food grade packaging material to preserve both the freshness and increase the longer shelf life. Products are quality tested and can be availed from us at best affordable prices. We are well recognized as a prestigious association, engaged in importing as well exporting nutritious range of groceries.",Vegetarian,,,Dried Red Chilli,Gluten Free
"
   			rawmest - 100 gm Dalchini powder (Pack of 1)",Powdered_spices,,,,,,India,4in1infotech,156.0,"
							Rawmest Dalchini Powder cinnamomum zeylanicum, cut the risk of heart disease, clear up urinary- tract infections, soothe an upset stomach. Rawmest dalchini powder is a powerful spice that has been used medicinally around the world for thousands of years. It is still used daily in many cultures because of the widespread cinnamon benefits, not to mention its distinctly sweet, warming tests and ease of use in recipes.",Vegetarian,,,Dalchini,No Artifical Flavours
"
   			Tassyam - 100 gm Lemon Powder (Pack of 1)",Powdered_spices,,,,,,India,"Goel United Spice Trading Office Plot No. 459, Sector 38, Food Park, HSIIDC Rai Industrial Estate Sonipat, Haryana 131029",171.0,"
							Sour, free flowing and packing a zing!",Vegetarian,,,Premium Lemon,
"
   			Nutrixia Food Chopchini Root Powder-chobchini Powder 100 gm",Powdered_spices,,,,,,Mumbai,Nutrixia Food Navi Mumbai,142.0,"
							Chopchini Root Powder Smilax China -chobchini",Vegetarian,,,Chopchini Root Powder-chobchini,Natural
"
   			Natures Gift - 100 gm Ginger powder (Pack of 4)",Powdered_spices,,,,,,India,"TIRUPATI BALAJI ENTERPRISE, BHAVNAGAR",253.0,"
							Spice Combo of Garlic Powder, Ginger Powder Tomato & Onion Powder.Contains Garlic Powder: 100 GM, Ginger Powder: 100 GM Tomato Powder : 100 & White Onion Powder: 100 GM.Comes in a Sprinkler Jar - Easy to use & handleEasier to handle, saves time and require no chopping or special treatmentUse in preparing sauces, gravies, soups, pastas, hamburgers, salads & in any recipe where a flavour of onion is required.",Vegetarian,,,"White Onion Powder, Garlic Powder, Tomato Powder -  100 gm Each",
"
   			UPPAL SONS - 250 gm  (Pack of 1)",Powdered_spices,,,,,,India,UPPAL SONS,214.0,"
							PIZZA SEASONING",Vegetarian,,,PIZZA SEASONING,No MSG
